"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Github Issues","Пользователь видит созданные Issues - pure selene","0","1","0","0","0"
"","Github Issues","Пользователь видит созданные Issues - with steps","0","2","0","0","0"
